user_id,monthly_income,rent,utilities,transport,education,healthcare,savings_target
U001,10400,2700,800,1200,2000,300,2300
U002,14600,4200,1100,1500,2200,600,3900
U003,6900,1800,500,700,800,250,1750
U004,10200,2800,750,1000,1500,400,2650
U005,12900,3500,900,1400,2000,500,3500
U006,5600,1300,400,600,500,200,1500
U007,9300,2500,700,950,1300,350,2400
U008,14100,3900,1000,1600,2500,600,3400
U009,7500,2000,550,750,900,300,1900
U010,11400,3200,850,1200,1800,450,2800
U011,15200,4300,1150,1700,2600,700,3650
U012,6000,1500,450,600,600,200,1550
U013,9600,2600,750,1000,1400,400,2350
U014,12500,3400,950,1300,2100,550,3100
U015,7200,1900,550,750,950,300,1650
U016,20900,3000,800,1150,1700,400,5000
U017,23600,3800,1000,1500,2300,600,5000
U018,6300,1600,450,650,700,250,1550
U019,8800,2400,650,900,1200,350,2200
U020,11900,3300,900,1250,1900,500,2950
U021,5800,1400,400,600,550,200,1550
U022,10000,2700,750,1050,1600,400,2400
U023,13200,3700,1000,1400,2100,550,3350
U024,7700,2000,600,800,1000,300,1900
U025,10600,2900,800,1100,1650,450,2600
U026,14900,4100,1100,1600,2400,650,3950
U027,6600,1700,500,700,750,250,1600
U028,9200,2500,700,950,1300,350,2300
U029,12200,3400,900,1300,2000,500,3000
U030,5500,1300,400,550,500,200,1450
U031,9800,2700,750,1050,1500,400,2300
U032,13900,3900,1050,1500,2400,600,3350
U033,8000,2100,600,850,1100,300,1950
U034,11200,3100,850,1200,1800,450,2700
U035,15300,4300,1150,1700,2600,700,3750
U036,6200,1500,450,650,650,250,1600
U037,9500,2600,700,1000,1400,400,2300
U038,12700,3500,950,1350,2100,550,3150
U039,7300,1900,550,750,950,300,1750
U040,10500,2900,800,1100,1600,450,2550
U041,14300,4000,1100,1550,2300,650,3600
U042,5900,1400,450,600,600,200,1550
U043,9000,2400,650,950,1250,350,2300
U044,11700,3200,900,1250,1900,500,2850
U045,15000,4200,1150,1650,2500,650,3750
U046,6800,1700,500,700,800,250,1750
U047,10300,2800,750,1100,1600,400,2550
U048,13000,3600,1000,1400,2100,550,3250
U049,5700,1300,400,600,550,200,1550
U050,8700,2300,650,900,1200,350,2200
U051,11500,3200,850,1200,1850,450,2850
U052,14700,4100,1100,1600,2400,650,3750
U053,7600,2000,550,800,1000,300,1850
U054,10800,3000,800,1150,1700,450,2600
U055,13700,3800,1050,1500,2300,600,3350
U056,6500,1600,450,650,750,250,1700
U057,9700,2600,750,1000,1450,400,2400
U058,12600,3500,950,1350,2100,550,3050
U059,6100,1500,450,600,650,200,1600
U060,9100,2400,700,950,1300,350,2300
U061,12000,3300,900,1300,1950,500,2950
U062,15100,4200,1150,1650,2500,700,3800
U063,8200,2200,600,850,1150,300,2000
U064,11100,3100,850,1200,1750,450,2650
U065,14000,3900,1050,1500,2400,600,3450
U066,7000,1800,500,750,850,250,1750
U067,9900,2700,750,1050,1500,400,2400
U068,12800,3600,950,1400,2100,550,3100
U069,6300,1600,450,650,700,250,1550
U070,9300,2500,700,950,1300,350,2400
U071,12300,3400,900,1300,2000,500,3100
U072,15200,4300,1150,1700,2600,700,3650
U073,7800,2100,600,800,1050,300,1850
U074,10700,2900,800,1150,1650,450,2650
U075,13800,3900,1050,1500,2300,600,3350
U076,6700,1700,500,700,800,250,1650
U077,9400,2600,700,1000,1400,400,2200
U078,12400,3500,950,1350,2050,550,2900
U079,5600,1300,400,600,550,200,1450
U080,8900,2400,650,900,1250,350,2250
U081,11600,3200,900,1250,1900,500,2750
U082,14500,4100,1100,1600,2400,650,3550
U083,7400,1900,550,750,950,300,1850
U084,10400,2900,800,1100,1600,450,2450
U085,13500,3800,1000,1450,2200,600,3350
U086,7100,1800,500,750,900,300,1750
U087,10150,2700,750,1050,1550,400,2600
U088,13100,3600,1000,1400,2100,550,3350
U089,6000,1500,450,600,650,250,1450
U090,8600,2300,650,900,1200,350,2100
U091,11800,3300,900,1250,1950,500,2800
U092,14800,4200,1150,1600,2400,650,3700
U093,7900,2100,600,800,1100,300,1900
U094,11000,3000,850,1150,1700,450,2750
U095,14200,4000,1100,1550,2400,600,3450
U096,6400,1600,450,650,750,250,1600
U097,10200,2800,750,1100,1500,400,2550
U098,13300,3700,1000,1450,2200,550,3300
U099,5900,1400,450,600,600,200,1550
U100,9200,2500,700,950,1300,350,2300

